FlagshipSocialNetwork;IN_NumOfAccounts;Instagram.URL;Instagram.Followers;yes_no;IG_Total_Posts
;;http://www.instagram.com/sherrykayne;9000;;
;;http://www.instagram.com/prestigiousmodels;5200;;
;;http://www.instagram.com/lbactingstudio;6700;;
;;http://www.instagram.com/csp_mgmt;6200;;
;;http://www.instagram.com/jazellesartistry;5100;;
;;http://www.instagram.com/terryknickerbockerstudio;9400;;
;;http://www.instagram.com/getscenestudios;7100;;
;;http://www.instagram.com/silveradoresort;9300;;
;;http://www.instagram.com/sarah.a.calandra;6300;;
;;http://www.instagram.com/bohemianhighwaytravelco;7000;;
;;http://www.instagram.com/fishgaucho;6000;;
;;http://www.instagram.com/robiberowinery;6600;;
;;http://www.instagram.com/vtdavidkeckms;5100;;
;;http://www.instagram.com/blackvines_;9600;;
;;http://www.instagram.com/honeyandbrieboards;5100;;
;;http://www.instagram.com/thehatchrotisserie;5200;;
;;http://www.instagram.com/livermoredowntown;7200;;
;;http://www.instagram.com/foodohstyle;7600;;
;;http://www.instagram.com/anchorrosetattoo;5400;;
;;http://www.instagram.com/gregvaughn23;7000;;
;;http://www.instagram.com/friendshipofthegood;8300;;
;;http://www.instagram.com/7dsteakhouse;7600;;
;;http://www.instagram.com/redhookwinery;6000;;
;;http://www.instagram.com/bailysoldtown;5900;;
;;http://www.instagram.com/therealjordanmackay;5600;;
;;http://www.instagram.com/archerhotelnapa;7600;;
;;http://www.instagram.com/charcuterieboardworkshop;5900;;
;;http://www.instagram.com/newportbeachwineandfood;5300;;
;;http://www.instagram.com/tippleandramble;8000;;
;;http://www.instagram.com/wiensbrewing;7400;;
;;http://www.instagram.com/nuitrose;5800;;
;;http://www.instagram.com/righteouscheese;5800;;
;;http://www.instagram.com/emmaollie_fbg;5800;;
;;http://www.instagram.com/musclecakes;5300;;
;;http://www.instagram.com/jgoptimizedtraining;7500;;
;;http://www.instagram.com/alisha.fit;8600;;
;;http://www.instagram.com/tararosefit;5100;;
;;http://www.instagram.com/celeste_iifym;5800;;
;;http://www.instagram.com/jwinesdundee;5700;;
;;http://www.instagram.com/tavernasanmarco;5900;;
;;http://www.instagram.com/josepablorellana;5200;;
;;http://www.instagram.com/jenmoneycoach;5300;;
;;http://www.instagram.com/vernellwatts_;6700;;
;;http://www.instagram.com/brandynikoleavery;7400;;
;;http://www.instagram.com/jillianjohnsrud;5600;;
;;http://www.instagram.com/thefioneers;5500;;
;;http://www.instagram.com/michailduran;8500;;
;;http://www.instagram.com/opulentcredit;5600;;
;;http://www.instagram.com/iloveadorable;5900;;
;;http://www.instagram.com/peoples.consulting;6300;;
;;http://www.instagram.com/firstgenmoney;5800;;
;;http://www.instagram.com/rkarra13;7900;;
;;http://www.instagram.com/calebweed02;5300;;
;;http://www.instagram.com/dareamcredit;6000;;
;;http://www.instagram.com/danimarieserban;6700;;
;;http://www.instagram.com/lionheartlaquinn;7000;;
;;http://www.instagram.com/wfgcanada;7000;;
;;http://www.instagram.com/zerotodiamond;9000;;
;;http://www.instagram.com/winston_riddick;7500;;
;;http://www.instagram.com/westmarkcreditunion;5200;;
;;http://www.instagram.com/_hustleandcashflow;5300;;
;;http://www.instagram.com/lwwalletco;8200;;
;;http://www.instagram.com/hails.yo;7800;;
;;http://www.instagram.com/shamika_saves;5600;;
;;http://www.instagram.com/realtor_jamila;7200;;
;;http://www.instagram.com/hearmefinance;5500;;
;;http://www.instagram.com/missnue_;5000;;
;;http://www.instagram.com/girlswhoinvest;7100;;
;;http://www.instagram.com/ucedaenglishusa;7200;;
;;http://www.instagram.com/hillsboroughsch;8400;;
;;http://www.instagram.com/emoryhenry;5700;;
;;http://www.instagram.com/this_is_araz;6000;;
;;http://www.instagram.com/therealdrameena;5100;;
;;http://www.instagram.com/queen.daisy;9400;;
;;http://www.instagram.com/lincolnpublicschools;9700;;
;;http://www.instagram.com/repperruso;7300;;
;;http://www.instagram.com/nodegreepodcast;5000;;
;;http://www.instagram.com/baydistschools;6600;;
;;http://www.instagram.com/getinvolvednc;5100;;
;;http://www.instagram.com/giveadamnbook;7600;;
;;http://www.instagram.com/rosemaryajuka;6800;;
;;http://www.instagram.com/ocps_official;8600;;
;;http://www.instagram.com/pointsofmeasure;7500;;
;;http://www.instagram.com/startnow.fashion;7200;;
;;http://www.instagram.com/sechselement;9000;;
;;http://www.instagram.com/nysdesign;7900;;
;;http://www.instagram.com/runway_solutions;6700;;
;;http://www.instagram.com/rogerfigueroa_designs;7000;;
;;http://www.instagram.com/hautehausagency;8400;;
;;http://www.instagram.com/dekadlifestyleglobal;9900;;
;;http://www.instagram.com/cyrenerenee;5700;;
;;http://www.instagram.com/sknnieminnie;5700;;
;;http://www.instagram.com/speechless_vulgarity_int;5700;;
;;http://www.instagram.com/thehomegirl__;5100;;
;;http://www.instagram.com/shadthemodel;9600;;
;;http://www.instagram.com/sylviesausse;5100;;
;;http://www.instagram.com/deartyler;6800;;
;;http://www.instagram.com/_tyratoyou;5900;;
;;http://www.instagram.com/s.marrero;8000;;
;;http://www.instagram.com/williejohnson3;9300;;
;;http://www.instagram.com/vincent_tancredi;5500;;
;;http://www.instagram.com/fudgelaflare;5500;;
;;http://www.instagram.com/lil_rosa;5900;;
;;http://www.instagram.com/william_ltd;8100;;
;;http://www.instagram.com/strandedme;8400;;
;;http://www.instagram.com/modestcatwalk;9000;;
;;http://www.instagram.com/mersonnarcisse;6000;;
;;http://www.instagram.com/luisantoniomoda;8600;;
;;http://www.instagram.com/kiing.beka;9400;;
;;http://www.instagram.com/therealjaysmoov;6300;;
;;http://www.instagram.com/atasteofglamour;7600;;
;;http://www.instagram.com/hannahnoellee;7200;;
;;http://www.instagram.com/iamjothegod;5100;;
;;http://www.instagram.com/worlddancepageant;7600;;
;;http://www.instagram.com/demiivit;6700;;
;;http://www.instagram.com/sheisziggy;5200;;
;;http://www.instagram.com/antoineanderson_;7300;;
;;http://www.instagram.com/hawttsauce;6300;;
;;http://www.instagram.com/sovixtoria;5900;;
;;http://www.instagram.com/shylaskyesilva;6000;;
;;http://www.instagram.com/misslatinapageant;5700;;
;;http://www.instagram.com/_taymura;5300;;
;;http://www.instagram.com/rachel_sklar;6100;;
;;http://www.instagram.com/styledbybq;6000;;
;;http://www.instagram.com/iamglennanthony;7300;;
;;http://www.instagram.com/mad.alma;6300;;
;;http://www.instagram.com/socialwork_studio;5900;;
;;http://www.instagram.com/eyemgmt;6300;;
;;http://www.instagram.com/foxfire1;5000;;
;;http://www.instagram.com/alyssa1355;9400;;
;;http://www.instagram.com/stylederue.nyc;9200;;
;;http://www.instagram.com/robcobb_insc;5300;;
;;http://www.instagram.com/nickzulu_;6600;;
;;http://www.instagram.com/alexandriahiers;6400;;
;;http://www.instagram.com/fllfashionweek;6300;;
;;http://www.instagram.com/travisthebass;5700;;
;;http://www.instagram.com/bougiehippie;6500;;
;;http://www.instagram.com/victorli;9800;;
;;http://www.instagram.com/imitationofchristofficial;7800;;
;;http://www.instagram.com/catallanes;9600;;
;;http://www.instagram.com/calista_long;5200;;
;;http://www.instagram.com/staceykbrennan;5400;;
;;http://www.instagram.com/lafamelive;5000;;
;;http://www.instagram.com/pbushaw;7300;;
;;http://www.instagram.com/christinapalavra;6700;;
;;http://www.instagram.com/leahchhokar;5900;;
;;http://www.instagram.com/brianadrian._;5100;;
;;http://www.instagram.com/jaistylez;6800;;
;;http://www.instagram.com/realellawinberg;6900;;
;;http://www.instagram.com/burnetttaylorphoto;5800;;
;;http://www.instagram.com/sosfashion75;7600;;
;;http://www.instagram.com/dressed.by.jaye;6600;;
;;http://www.instagram.com/robertrandolpf_;5600;;
;;http://www.instagram.com/roseculturestyle;5100;;
;;http://www.instagram.com/iamcurvyboss;5500;;
;;http://www.instagram.com/loxystyles;8400;;
;;http://www.instagram.com/sirbrucling;9400;;
;;http://www.instagram.com/hoyinsiuphotography;5800;;
;;http://www.instagram.com/brooklynrapunzel;9500;;
;;http://www.instagram.com/maturosnyc;6200;;
;;http://www.instagram.com/hemxhim_official;6500;;
;;http://www.instagram.com/ajsongstudio;9000;;
;;http://www.instagram.com/meganleestyle;8400;;
;;http://www.instagram.com/steph_amelie;7300;;
;;http://www.instagram.com/thecannonmediagroup;9800;;
;;http://www.instagram.com/joshhurtmusic;6000;;
;;http://www.instagram.com/mr_baldwinstyle;6800;;
;;http://www.instagram.com/algstyle;5000;;
;;http://www.instagram.com/atarahstyles;9300;;
;;http://www.instagram.com/youthwar;5400;;
;;http://www.instagram.com/randytran.photography;6000;;
;;http://www.instagram.com/agpnyc;6000;;
;;http://www.instagram.com/sarahlenoirph;9000;;
;;http://www.instagram.com/han_newyork;8200;;
;;http://www.instagram.com/davidwonderland;5200;;
;;http://www.instagram.com/thetrendoffice;5800;;
;;http://www.instagram.com/dietrich.williams;7300;;
;;http://www.instagram.com/ward_robe_inc;9400;;
;;http://www.instagram.com/iam_mrhardy;6800;;
;;http://www.instagram.com/plutinogroup;7300;;
;;http://www.instagram.com/loveaudrique;5900;;
;;http://www.instagram.com/feingoldstyle;7000;;
;;http://www.instagram.com/porcsha_zachary;5700;;
;;http://www.instagram.com/masha_orlov;7100;;
;;http://www.instagram.com/fabulouslyt_;7900;;
;;http://www.instagram.com/littleluxer;6300;;
;;http://www.instagram.com/therealcmoon;6000;;
;;http://www.instagram.com/koestyle;7800;;
;;http://www.instagram.com/dturn92;6900;;
;;http://www.instagram.com/deo_christina;8600;;
;;http://www.instagram.com/styledbycrystalwoo;8300;;
;;http://www.instagram.com/racheldunford_;6500;;
;;http://www.instagram.com/iyanawinfield;9200;;
;;http://www.instagram.com/globallglo;7300;;
;;http://www.instagram.com/styledbypriyanka;5900;;
;;http://www.instagram.com/stylebygrizelda;6300;;
;;http://www.instagram.com/rossvanalstine;6300;;
;;http://www.instagram.com/__the__fashion__collector__;8500;;
;;http://www.instagram.com/aestheteinthecity;5000;;
;;http://www.instagram.com/katherinelande;7200;;
;;http://www.instagram.com/lalotorre;9000;;
;;http://www.instagram.com/serigne_lam;7300;;
;;http://www.instagram.com/lushcouture;7400;;
;;http://www.instagram.com/minan.nyc;9000;;
;;http://www.instagram.com/rosehayes;8600;;
;;http://www.instagram.com/carolinagomezlifestyle;8500;;
