date,mediacount,username,month,year
2019-12-01,1863,shannonsharpe84,12,2019
2019-11-01,1789,shannonsharpe84,11,2019
2019-10-01,1707,shannonsharpe84,10,2019
2019-09-01,1618,shannonsharpe84,9,2019
2019-08-01,1562,shannonsharpe84,8,2019
2019-07-01,1501,shannonsharpe84,7,2019
2019-06-01,1439,shannonsharpe84,6,2019
2019-05-01,1358,shannonsharpe84,5,2019
2019-04-01,1293,shannonsharpe84,4,2019
2019-03-01,1231,shannonsharpe84,3,2019
2019-02-01,1176,shannonsharpe84,2,2019
2019-01-01,1087,shannonsharpe84,1,2019
2022-12-01,2467,brittanyaldean,12,2022
2022-11-01,2448,brittanyaldean,11,2022
2022-10-01,2425,brittanyaldean,10,2022
2022-09-01,2407,brittanyaldean,9,2022
2022-08-01,2386,brittanyaldean,8,2022
2022-07-01,2374,brittanyaldean,7,2022
2022-06-01,2351,brittanyaldean,6,2022
2022-05-01,2345,brittanyaldean,5,2022
2022-04-01,2336,brittanyaldean,4,2022
2022-03-01,2312,brittanyaldean,3,2022
2022-02-01,2294,brittanyaldean,2,2022
2022-01-01,2275,brittanyaldean,1,2022
2021-12-01,2255,brittanyaldean,12,2021
2021-11-01,2236,brittanyaldean,11,2021
2021-10-01,2212,brittanyaldean,10,2021
2021-09-01,2180,brittanyaldean,9,2021
2021-08-02,2168,brittanyaldean,8,2021
2021-07-01,2153,brittanyaldean,7,2021
2021-06-01,2121,brittanyaldean,6,2021
2021-05-01,2091,brittanyaldean,5,2021
2021-04-01,2061,brittanyaldean,4,2021
2021-03-02,2043,brittanyaldean,3,2021
2021-02-01,2004,brittanyaldean,2,2021
2021-01-01,1976,brittanyaldean,1,2021
2020-12-01,1947,brittanyaldean,12,2020
2020-11-01,1922,brittanyaldean,11,2020
2020-10-01,1882,brittanyaldean,10,2020
2020-09-01,1860,brittanyaldean,9,2020
2020-08-01,1833,brittanyaldean,8,2020
2020-07-01,1787,brittanyaldean,7,2020
2020-06-01,1763,brittanyaldean,6,2020
2020-05-01,1738,brittanyaldean,5,2020
2020-04-01,1699,brittanyaldean,4,2020
2020-03-01,1667,brittanyaldean,3,2020
2020-02-01,1626,brittanyaldean,2,2020
2020-01-01,1583,brittanyaldean,1,2020
2019-12-01,1545,brittanyaldean,12,2019
2019-11-01,1514,brittanyaldean,11,2019
2019-10-01,1479,brittanyaldean,10,2019
2019-09-01,1436,brittanyaldean,9,2019
2019-08-01,1404,brittanyaldean,8,2019
2019-07-01,1374,brittanyaldean,7,2019
2019-06-01,1338,brittanyaldean,6,2019
2019-05-01,1305,brittanyaldean,5,2019
2019-04-01,1274,brittanyaldean,4,2019
2019-03-01,1251,brittanyaldean,3,2019
2019-02-01,1237,brittanyaldean,2,2019
2019-01-01,1219,brittanyaldean,1,2019
2022-12-01,5869,horo.scopesdaily,12,2022
2022-11-01,5820,horo.scopesdaily,11,2022
2022-10-01,5773,horo.scopesdaily,10,2022
2022-09-01,5725,horo.scopesdaily,9,2022
2022-08-01,5672,horo.scopesdaily,8,2022
2022-07-01,5621,horo.scopesdaily,7,2022
2022-06-01,5547,horo.scopesdaily,6,2022
2022-05-01,5455,horo.scopesdaily,5,2022
2022-04-01,5372,horo.scopesdaily,4,2022
2022-03-01,5286,horo.scopesdaily,3,2022
2022-02-01,5221,horo.scopesdaily,2,2022
2022-01-01,5149,horo.scopesdaily,1,2022
2021-12-01,5090,horo.scopesdaily,12,2021
2021-11-01,5037,horo.scopesdaily,11,2021
2021-10-01,4979,horo.scopesdaily,10,2021
2021-09-01,4918,horo.scopesdaily,9,2021
2021-08-02,4866,horo.scopesdaily,8,2021
2021-07-01,4806,horo.scopesdaily,7,2021
2021-06-01,4753,horo.scopesdaily,6,2021
2021-05-01,4708,horo.scopesdaily,5,2021
2021-04-01,4662,horo.scopesdaily,4,2021
2021-03-01,4606,horo.scopesdaily,3,2021
2021-02-01,4580,horo.scopesdaily,2,2021
2021-01-01,4534,horo.scopesdaily,1,2021
2020-12-01,4507,horo.scopesdaily,12,2020
2020-11-01,4471,horo.scopesdaily,11,2020
2020-10-01,4434,horo.scopesdaily,10,2020
2020-09-01,4390,horo.scopesdaily,9,2020
2020-08-01,4345,horo.scopesdaily,8,2020
2020-07-01,4311,horo.scopesdaily,7,2020
2020-06-01,4270,horo.scopesdaily,6,2020
2020-05-02,4237,horo.scopesdaily,5,2020
2020-04-01,4211,horo.scopesdaily,4,2020
2020-03-01,4184,horo.scopesdaily,3,2020
2020-02-01,4168,horo.scopesdaily,2,2020
2020-01-01,4140,horo.scopesdaily,1,2020
2019-12-01,4110,horo.scopesdaily,12,2019
2019-11-01,4084,horo.scopesdaily,11,2019
2019-10-01,4052,horo.scopesdaily,10,2019
2019-09-01,4028,horo.scopesdaily,9,2019
2019-08-01,4002,horo.scopesdaily,8,2019
2019-07-01,3971,horo.scopesdaily,7,2019
2019-06-01,3940,horo.scopesdaily,6,2019
2019-05-01,3910,horo.scopesdaily,5,2019
2019-04-01,3890,horo.scopesdaily,4,2019
2019-03-02,3862,horo.scopesdaily,3,2019
2019-02-09,3840,horo.scopesdaily,2,2019
2019-01-01,3805,horo.scopesdaily,1,2019
2022-12-01,1683,laur_akins,12,2022
2022-11-01,1677,laur_akins,11,2022
2022-10-01,1676,laur_akins,10,2022
2022-09-01,1676,laur_akins,9,2022
2022-08-01,1675,laur_akins,8,2022
2022-07-01,1675,laur_akins,7,2022
2022-06-01,1674,laur_akins,6,2022
2022-05-01,1674,laur_akins,5,2022
2022-04-01,1672,laur_akins,4,2022
2022-03-01,1672,laur_akins,3,2022
