FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/malloryervin,908223,2683
instagram,1,https://instagram.com/samanthaponder,604694,1458
instagram,1,https://instagram.com/ariejr,833440,1176
instagram,1,https://instagram.com/thewillwitt,520237,857
instagram,1,https://instagram.com/malinsworld,720493,1204
instagram,1,https://instagram.com/jackiehillperry,842553,2359
instagram,1,https://instagram.com/realkkvsh,895946,174
instagram,1,https://instagram.com/yungjoc650,714871,1868
instagram,1,https://instagram.com/brittaniborenleach,797343,1839
instagram,1,https://instagram.com/sarahknuth,997246,5692
instagram,1,https://instagram.com/amaricooper9,853455,81
instagram,1,https://instagram.com/jaydekamille_,727717,1793
instagram,1,https://instagram.com/_evess,592669,188
instagram,1,https://instagram.com/prettyluhhazel,520479,2
instagram,1,https://instagram.com/thechosentvseries,995817,1730
instagram,1,https://instagram.com/kimblehaircare,517114,2055
instagram,1,https://instagram.com/therealcharlieclips,667686,614
instagram,1,https://instagram.com/stephhollman,614492,2752
instagram,1,https://instagram.com/kathryndennis,973380,1352
instagram,1,https://instagram.com/dynastyloveyou,603733,605
instagram,1,https://instagram.com/comestayawhile,969639,681
instagram,1,https://instagram.com/riodayung0g,590958,7
instagram,1,https://instagram.com/foogiano,962949,17
instagram,1,https://instagram.com/pardi,962472,245
instagram,1,https://instagram.com/_famous4nothing,658890,977
instagram,1,https://instagram.com/_naturallystacked_,921092,93
instagram,1,https://instagram.com/skweezy4real,523432,2331
instagram,1,https://instagram.com/julieertz,948623,989
instagram,1,https://instagram.com/lola.brooke,845911,150
instagram,1,https://instagram.com/_antwainsworld,681678,895
instagram,1,https://instagram.com/emmanuelacho,944181,365
instagram,1,https://instagram.com/canbharri,526582,869
instagram,1,https://instagram.com/justinsaiyann,938904,429
instagram,1,https://instagram.com/minibvrbie,909344,31
instagram,1,https://instagram.com/deadboylife,680436,501
instagram,1,https://instagram.com/_seniamariee,518000,51
instagram,1,https://instagram.com/itati3211,918873,728
instagram,1,https://instagram.com/taylor.selfridge,934850,291
instagram,1,https://instagram.com/no.chill.gil,932459,649
instagram,1,https://instagram.com/realcj_,931139,74
instagram,1,https://instagram.com/julietteporter,822868,494
instagram,1,https://instagram.com/luvenchanting,926440,172
instagram,1,https://instagram.com/ashaiaa,619650,30
instagram,1,https://instagram.com/watchingnewyork,921025,1765
instagram,1,https://instagram.com/sarahplevy,682009,556
instagram,1,https://instagram.com/kelseykreppel,910817,415
instagram,1,https://instagram.com/mikeevans,704699,179
instagram,1,https://instagram.com/heymadinelson,897288,714
instagram,1,https://instagram.com/shorelinemafia,904828,62
instagram,1,https://instagram.com/redturn2,663267,1672
instagram,1,https://instagram.com/thealixlapri,688689,245
instagram,1,https://instagram.com/mamii_es,564274,66
instagram,1,https://instagram.com/desariana,884759,246
instagram,1,https://instagram.com/nbsmallerbear,879360,496
instagram,1,https://instagram.com/marknormand,879222,1867
instagram,1,https://instagram.com/vlexgalindo,659371,396
instagram,1,https://instagram.com/matt_mathews,852749,2832
instagram,1,https://instagram.com/philip_or_flop,872447,289
instagram,1,https://instagram.com/alexa.anglin,870300,1337
instagram,1,https://instagram.com/macjones_10,679669,44
instagram,1,https://instagram.com/muahbribri,864900,2052
instagram,1,https://instagram.com/realsophiegrace,845221,317
instagram,1,https://instagram.com/tylepley,853805,202
instagram,1,https://instagram.com/sharife.cooper,859121,195
instagram,1,https://instagram.com/dcthedon,528869,31
instagram,1,https://instagram.com/azramian,858805,513
instagram,1,https://instagram.com/simoncholland,685922,2664
instagram,1,https://instagram.com/chaseyoung,853611,285
instagram,1,https://instagram.com/carlaciagrant,852237,165
instagram,1,https://instagram.com/paolo5,850266,50
instagram,1,https://instagram.com/trevondiggs,849705,74
instagram,1,https://instagram.com/jasminejade,628587,20
instagram,1,https://instagram.com/mrsmoniquesamuels,670850,1559
instagram,1,https://instagram.com/heatherkmcmahan,742378,2853
instagram,1,https://instagram.com/tdlockett12,614689,939
instagram,1,https://instagram.com/sarablakely,731051,1046
instagram,1,https://instagram.com/rondesantisfl,842389,339
instagram,1,https://instagram.com/paige_desorbo,842357,601
instagram,1,https://instagram.com/jaredhaibon,692949,861
instagram,1,https://instagram.com/primetime_jet,606722,29
instagram,1,https://instagram.com/primal_gourmet,840048,1287
instagram,1,https://instagram.com/macmcclung37,821885,52
instagram,1,https://instagram.com/thesherylleeralph,821236,1276
instagram,1,https://instagram.com/ryandaviscomedy,547756,163
instagram,1,https://instagram.com/paqjonathan,730535,684
instagram,1,https://instagram.com/minaamonroe,796604,1962
instagram,1,https://instagram.com/morbidpodcast,808258,1021
instagram,1,https://instagram.com/remingtonavenue,806889,1866
instagram,1,https://instagram.com/chanjones55,802863,58
instagram,1,https://instagram.com/nchubb27,523983,13
instagram,1,https://instagram.com/jadecline_,681693,92
instagram,1,https://instagram.com/crystianna.s,798197,1088
instagram,1,https://instagram.com/alanbersten,529230,1691
instagram,1,https://instagram.com/0fficial.karlaaa,630593,318
instagram,1,https://instagram.com/lastname_baker,788691,67
instagram,1,https://instagram.com/churchoflaugh,753150,4083
instagram,1,https://instagram.com/ladiiscorpio,715463,77
instagram,1,https://instagram.com/kelleyflanagan,784855,376
instagram,1,https://instagram.com/vanessagrimaldi30,708334,1220
instagram,1,https://instagram.com/therealtracibraxton,784169,1504
instagram,1,https://instagram.com/realannapaulina,511640,600
instagram,1,https://instagram.com/marykaterob,780003,1549
instagram,1,https://instagram.com/arrowsandbow,775747,1256
instagram,1,https://instagram.com/joytaylortalks,588315,3991
instagram,1,https://instagram.com/malindapanton_ps,773665,516
instagram,1,https://instagram.com/pashkatheboss,769123,482
instagram,1,https://instagram.com/doeboy,615171,61
instagram,1,https://instagram.com/flaujae,768155,249
instagram,1,https://instagram.com/ghettogronk,767003,2453
instagram,2,https://instagram.com/kristinaschulman,644007,766
instagram,1,https://instagram.com/joshbrueckner,764598,1140
instagram,1,https://instagram.com/bubbadub94,550314,919
instagram,1,https://instagram.com/big_boogie_music,759931,786
instagram,1,https://instagram.com/luvcrystalrenee,757618,671
instagram,1,https://instagram.com/alextoussaint25,591664,922
instagram,1,https://instagram.com/jonathankmonroe,567391,181
instagram,1,https://instagram.com/stevenafranz,618101,346
instagram,1,https://instagram.com/toyofficial,753213,163
instagram,1,https://instagram.com/chaninicholas,542397,1654
instagram,1,https://instagram.com/maxokream,505422,116
instagram,1,https://instagram.com/sofiafranklyn,745480,328
instagram,1,https://instagram.com/santothaplugg,624194,104
instagram,1,https://instagram.com/madissonhaus,664487,653
instagram,1,https://instagram.com/kjsmithofficial,738920,155
instagram,1,https://instagram.com/thehumble_21,504597,502
instagram,1,https://instagram.com/naomie_olindo,733328,671
instagram,1,https://instagram.com/brookebaileyinc,639865,333
instagram,1,https://instagram.com/vlfuller,732719,397
instagram,1,https://instagram.com/amandakloots,732594,4377
instagram,1,https://instagram.com/flash_garrett,731144,349
instagram,1,https://instagram.com/chauncysmartt,512979,33
instagram,1,https://instagram.com/itsrgnessa,726270,54
instagram,1,https://instagram.com/luciamanfredii,725822,439
instagram,1,https://instagram.com/phenomenal,725520,500
instagram,1,https://instagram.com/nessnitty,509869,3195
instagram,1,https://instagram.com/skylersimpsonn,721690,397
instagram,1,https://instagram.com/emmanuelsanders,643389,326
instagram,1,https://instagram.com/ftnbae_,620782,79
instagram,1,https://instagram.com/super_sebas_2210,628156,154
instagram,1,https://instagram.com/thegoodthebadthebogie,633326,1148
instagram,1,https://instagram.com/cclaire.bbear,718023,699
instagram,1,https://instagram.com/chloeiscrazy,661746,832
instagram,1,https://instagram.com/exactly.e,555869,139
instagram,1,https://instagram.com/reggieray_,699277,41
instagram,1,https://instagram.com/joleendiaz,638492,454
instagram,1,https://instagram.com/navarro_college_cheer,715629,303
instagram,1,https://instagram.com/urbanthrowbacks,714378,5243
instagram,1,https://instagram.com/squishmallows,713035,852
instagram,1,https://instagram.com/gablesteveson,626868,90
instagram,1,https://instagram.com/sydelcurrylee,709279,1252
instagram,1,https://instagram.com/tiffanymoonmd,704925,1124
instagram,1,https://instagram.com/balockaye.h,703080,462
instagram,1,https://instagram.com/janaegirard,684377,690
instagram,1,https://instagram.com/real_est_even_,702206,443
instagram,1,https://instagram.com/nicky.cass,701986,605
instagram,1,https://instagram.com/madisoncawthorn,700752,516
instagram,1,https://instagram.com/bekah,697416,928
instagram,1,https://instagram.com/ladarius_marshall17,562670,411
instagram,1,https://instagram.com/thekelseyowens,695633,484
instagram,1,https://instagram.com/_micahparsons11,694329,67
instagram,1,https://instagram.com/trey.lance,691661,232
instagram,1,https://instagram.com/toya_turnup,637421,457
instagram,1,https://instagram.com/hannahberner,620406,1400
instagram,1,https://instagram.com/tinsleymortimer,689682,797
instagram,1,https://instagram.com/tarynnewton,688799,2477
instagram,1,https://instagram.com/bresheppard,682522,2281
instagram,1,https://instagram.com/glambycandy_,507313,549
instagram,1,https://instagram.com/torigerbig,679349,1632
