FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
youtube,1,https://instagram.com/_kingcid,1213887,263
instagram,1,https://instagram.com/tobenwigwe,1552304,3105
facebook,1,https://instagram.com/codyjohnson,1108560,2401
instagram,1,https://instagram.com/brittanyaldean,2431613,2520
tiktok,1,https://instagram.com/flomillishit,1120439,284
instagram,1,https://instagram.com/thebackendchild,2498999,15
instagram,1,https://instagram.com/deyjahimani,1767780,71
facebook,1,https://instagram.com/brittany,1615639,1426
instagram,3,https://instagram.com/horo.scopesdaily,2681748,5981
tiktok,1,https://instagram.com/wiintrr,1187218,277
instagram,1,https://instagram.com/wolfiesmom,1194315,1661
instagram,1,https://instagram.com/chasechrisley,1368106,307
instagram,1,https://instagram.com/ballerinafarm,3433773,775
tiktok,1,https://instagram.com/greta.onieogou,1174047,475
instagram,1,https://instagram.com/imbadkidjay,1935619,78
youtube,1,https://instagram.com/amandaensing,1427744,2365
instagram,1,https://instagram.com/elsyguevara,1421589,234
instagram,1,https://instagram.com/witneycarson,1615521,2511
instagram,1,https://instagram.com/killatrav,1833164,829
instagram,1,https://instagram.com/laur_akins,2749170,1685
instagram,1,https://instagram.com/new_era8,3189218,126
instagram,1,https://instagram.com/slaybyella_,2301301,382
instagram,1,https://instagram.com/joelle_fletcher,2673466,813
instagram,1,https://instagram.com/lauramellado,1114036,2093
instagram,1,https://instagram.com/cheetah,2003206,7
instagram,1,https://instagram.com/hannahg11,1538678,1417
instagram,1,https://instagram.com/carririchardson_,2294608,28
instagram,1,https://instagram.com/arrogant_tae123,2479467,10003
instagram,1,https://instagram.com/daniaustin,1730560,4168
instagram,1,https://instagram.com/1804jackboy,2086598,163
instagram,1,https://instagram.com/dc_draino,2362360,5385
instagram,1,https://instagram.com/the_typical_liberal,2722376,6239
instagram,1,https://instagram.com/latainax3,2733146,564
instagram,1,https://instagram.com/armon.warren,2379865,54
instagram,1,https://instagram.com/omeretta,1824670,38
instagram,1,https://instagram.com/iamalonzoarnold,1585127,11866
instagram,1,https://instagram.com/theprettymess,2557229,2979
instagram,1,https://instagram.com/damienprincejr,1657639,81
instagram,1,https://instagram.com/_ynwbslime,1235877,119
youtube,1,https://instagram.com/all_1k,1003678,38
instagram,1,https://instagram.com/ozthementalist,2510879,551
youtube,1,https://instagram.com/yayapanton,1069357,711
instagram,1,https://instagram.com/callherdaddy,1844192,874
instagram,1,https://instagram.com/thereallyricmichell,1631462,299
instagram,1,https://instagram.com/jakedufner,2449024,68
instagram,1,https://instagram.com/iamjustairi,1124534,387
instagram,1,https://instagram.com/icemikeloveasia,1000591,1671
instagram,1,https://instagram.com/stefondiggs,1676311,8
instagram,2,https://instagram.com/viva_glam_kay,1239721,2851
instagram,1,https://instagram.com/duggarfam,1276552,875
instagram,1,https://instagram.com/joannethescammer,1481950,138
instagram,1,https://instagram.com/filayyyy,2209125,1457
instagram,1,https://instagram.com/christianmccaffrey,1803576,729
instagram,1,https://instagram.com/karinjinsui,2196669,2111
instagram,1,https://instagram.com/juice_landry,2308181,45
instagram,1,https://instagram.com/lauren_sorrentino,1608292,1925
instagram,1,https://instagram.com/nolimitherro,2284429,127
instagram,1,https://instagram.com/morgannlyn,1288820,414
instagram,1,https://instagram.com/chrissylampkin,2031989,923
instagram,1,https://instagram.com/mattrking,1121366,449
instagram,1,https://instagram.com/_4dak,2265069,357
instagram,1,https://instagram.com/itshotboii438,1284104,221
instagram,1,https://instagram.com/thatgirljaycole,1433544,551
instagram,1,https://instagram.com/lalakent,1766466,252
instagram,1,https://instagram.com/lindsarnold,1220472,2538
instagram,1,https://instagram.com/4everbrooke,1775224,432
instagram,1,https://instagram.com/ohgeesy,1507359,254
instagram,1,https://instagram.com/wolfjames,1109211,363
instagram,1,https://instagram.com/corywharton_ig,1474382,626
instagram,1,https://instagram.com/queenkhamyra,1601470,431
instagram,1,https://instagram.com/immirahbadkid,1557941,28
instagram,1,https://instagram.com/alix_earle,2084949,326
instagram,1,https://instagram.com/thugginn,1859690,107
instagram,1,https://instagram.com/meganomullally,1287805,1112
instagram,1,https://instagram.com/lilmeechbmf,2029424,187
instagram,2,https://instagram.com/rissa2cute,1530059,174
instagram,1,https://instagram.com/khadeeniam,1190146,1882
instagram,1,https://instagram.com/yeat,1988455,8
instagram,1,https://instagram.com/friday.beers,1979523,2912
instagram,1,https://instagram.com/1dessdior,1858856,251
instagram,1,https://instagram.com/jalenramsey,1517120,386
instagram,1,https://instagram.com/0ne0fone,1406267,296
instagram,1,https://instagram.com/riconasty,1963322,128
instagram,1,https://instagram.com/laytongreene,1075612,37
instagram,1,https://instagram.com/julio_foolio,1002935,124
instagram,1,https://instagram.com/codyrigsby,1337238,1916
instagram,1,https://instagram.com/chrisbharrison,1257285,43
instagram,1,https://instagram.com/laurenlane,1548344,1004
instagram,1,https://instagram.com/annefrances,1864482,610
instagram,1,https://instagram.com/thechristinahall,1860778,364
instagram,1,https://instagram.com/yvonneorji,1250179,1923
