Username;followers_old;size_old;found;is_private;followers_new;size_new;gender
mothica;204564;midtier;TRUE;FALSE;203705;midtier;f
baby_briiiannaa;181198;midtier;TRUE;FALSE;194442;midtier;f
badazzflo;206550;midtier;TRUE;FALSE;212673;midtier;m
dbuck_99;206490;midtier;TRUE;FALSE;205321;midtier;m
chrisjbukowski;227745;midtier;TRUE;FALSE;226875;midtier;m
callmeskitzo;209186;midtier;TRUE;FALSE;208660;midtier;f
calenraps;159775;midtier;TRUE;FALSE;158540;midtier;m
sierraelizabethferrell;189044;midtier;TRUE;FALSE;207804;midtier;f
davonnedianne_;190542;midtier;TRUE;FALSE;190259;midtier;f
sabrina.bryan;194110;midtier;TRUE;FALSE;195732;midtier;f
bbyeileen;143242;midtier;TRUE;FALSE;141755;midtier;f
nellynelmb;171064;midtier;TRUE;FALSE;171801;midtier;m
anthonybarr;166017;midtier;TRUE;FALSE;165120;midtier;m
askaboutaaj;220596;midtier;TRUE;FALSE;219076;midtier;m
christina_rome_;227764;midtier;TRUE;FALSE;227649;midtier;f
going_boundless;206540;midtier;TRUE;FALSE;205674;midtier;g
cellyru;148537;midtier;TRUE;FALSE;148739;midtier;m
dantebasco;201547;midtier;TRUE;FALSE;202428;midtier;m
onefunnylisamarie;219147;midtier;TRUE;FALSE;220518;midtier;f
zeke.pike;484890;midtier;TRUE;FALSE;483220;midtier;m
iam_joshjacobs;499308;midtier;TRUE;FALSE;501584;makro;m
xtreme_heat;481876;midtier;TRUE;FALSE;481465;midtier;f
kool.kiy;483165;midtier;TRUE;FALSE;486826;midtier;m
msheatherrose;476982;midtier;TRUE;FALSE;504241;makro;f
thejasonivy;422184;midtier;TRUE;FALSE;414850;midtier;m
springyjeans;438908;midtier;TRUE;FALSE;501624;makro;i
itsjuju;473822;midtier;TRUE;FALSE;470795;midtier;m
thebatesfam;476802;midtier;TRUE;FALSE;477229;midtier;g
mccourtytwins;417904;midtier;TRUE;FALSE;415997;midtier;g
qangel_rice;465105;midtier;TRUE;FALSE;464939;midtier;f
showtyme_33;430299;midtier;TRUE;FALSE;429767;midtier;f
eatmah_kandy;410196;midtier;TRUE;FALSE;425061;midtier;f
nanycarmen;452765;midtier;TRUE;FALSE;456820;midtier;f
ottestyle;423129;midtier;TRUE;FALSE;427037;midtier;f
0fficial.krissy;450113;midtier;TRUE;FALSE;449230;midtier;f
kimikouture;498460;midtier;TRUE;FALSE;499440;midtier;f
mallorynikolaushome;496112;midtier;TRUE;FALSE;503715;makro;f
albeeal201;422377;midtier;TRUE;FALSE;425569;midtier;m
freddylsx;410348;midtier;TRUE;FALSE;420567;midtier;m
stevenguyen;418299;midtier;TRUE;FALSE;417404;midtier;m
luvvie;495463;midtier;TRUE;FALSE;495061;midtier;f
baileymstewart;439012;midtier;TRUE;FALSE;443234;midtier;f
_djuice;334171;midtier;TRUE;FALSE;334638;midtier;m
cynthia_harper_;337060;midtier;TRUE;FALSE;335640;midtier;f
therealaliwentworth;335891;midtier;TRUE;FALSE;342951;midtier;f
jayt23;371173;midtier;TRUE;FALSE;367532;midtier;m
iamcharlesdavis;407900;midtier;TRUE;FALSE;405264;midtier;m
jaredgoff;342017;midtier;TRUE;FALSE;341622;midtier;m
traceyeedmonds;337397;midtier;TRUE;FALSE;341820;midtier;f
katieemo;409551;midtier;TRUE;FALSE;406855;midtier;f
joemainmixon;386004;midtier;TRUE;FALSE;387649;midtier;m
probablyshannonford;397042;midtier;TRUE;FALSE;399355;midtier;f
shannonsaint;326897;midtier;TRUE;FALSE;327323;midtier;f
bankroll_pj;327492;midtier;TRUE;FALSE;327070;midtier;m
iammiajaye;377531;midtier;TRUE;FALSE;377413;midtier;f
govkristinoem;409121;midtier;TRUE;FALSE;413505;midtier;f
kirapetilli;387782;midtier;TRUE;FALSE;383833;midtier;f
skyemorales;374797;midtier;TRUE;FALSE;372784;midtier;f
micahplath;399964;midtier;TRUE;FALSE;399901;midtier;m
laurenelizabethburke;358264;midtier;TRUE;FALSE;357171;midtier;f
pitchersnation;353065;midtier;TRUE;FALSE;356044;midtier;m
jillcomesclean;397829;midtier;TRUE;FALSE;409086;midtier;f
stavvybaby2;400400;midtier;TRUE;FALSE;420094;midtier;m
mteo50;375210;midtier;FALSE;NA;NA;NA;
lizzymusi;320043;midtier;TRUE;FALSE;324601;midtier;f
girlwithaboysname;289483;midtier;TRUE;FALSE;299853;midtier;f
ericaleshai;261109;midtier;TRUE;FALSE;261575;midtier;f
isyglue;268661;midtier;TRUE;FALSE;268732;midtier;f
bmrtwins1;310647;midtier;TRUE;FALSE;308376;midtier;m
gabelustman;316863;midtier;TRUE;FALSE;316556;midtier;m
mauricebenard;311512;midtier;TRUE;FALSE;313970;midtier;m
jasminebleu;303009;midtier;TRUE;FALSE;302455;midtier;f
amberemilysmith;271914;midtier;TRUE;FALSE;274412;midtier;f
bigsgjamo;286198;midtier;TRUE;FALSE;287864;midtier;m
conjuredhoodoo;263888;midtier;TRUE;FALSE;262357;midtier;i
kylelarsonracin;308350;midtier;TRUE;FALSE;312439;midtier;m
latewithkate;249463;midtier;TRUE;FALSE;248900;midtier;f
