date,followees,username,month,year
2021-01-01,692,shannonsharpe84,1,2021
2020-12-01,692,shannonsharpe84,12,2020
2020-11-01,681,shannonsharpe84,11,2020
2020-10-01,681,shannonsharpe84,10,2020
2020-09-01,671,shannonsharpe84,9,2020
2020-08-01,693,shannonsharpe84,8,2020
2020-07-01,694,shannonsharpe84,7,2020
2020-06-01,696,shannonsharpe84,6,2020
2020-05-01,694,shannonsharpe84,5,2020
2020-04-01,674,shannonsharpe84,4,2020
2020-03-01,756,shannonsharpe84,3,2020
2020-02-01,992,shannonsharpe84,2,2020
2020-01-01,962,shannonsharpe84,1,2020
2019-12-01,953,shannonsharpe84,12,2019
2019-11-01,956,shannonsharpe84,11,2019
2019-10-01,946,shannonsharpe84,10,2019
2019-09-01,937,shannonsharpe84,9,2019
2019-08-01,945,shannonsharpe84,8,2019
2019-07-01,922,shannonsharpe84,7,2019
2019-06-01,903,shannonsharpe84,6,2019
2019-05-01,873,shannonsharpe84,5,2019
2019-04-01,854,shannonsharpe84,4,2019
2019-03-01,842,shannonsharpe84,3,2019
2019-02-01,792,shannonsharpe84,2,2019
2019-01-01,777,shannonsharpe84,1,2019
2022-12-01,1032,brittanyaldean,12,2022
2022-11-01,1024,brittanyaldean,11,2022
2022-10-01,1004,brittanyaldean,10,2022
2022-09-01,1000,brittanyaldean,9,2022
2022-08-01,991,brittanyaldean,8,2022
2022-07-01,977,brittanyaldean,7,2022
2022-06-01,966,brittanyaldean,6,2022
2022-05-01,959,brittanyaldean,5,2022
2022-04-01,950,brittanyaldean,4,2022
2022-03-01,951,brittanyaldean,3,2022
2022-02-01,953,brittanyaldean,2,2022
2022-01-01,946,brittanyaldean,1,2022
2021-12-01,932,brittanyaldean,12,2021
2021-11-01,922,brittanyaldean,11,2021
2021-10-01,915,brittanyaldean,10,2021
2021-09-01,898,brittanyaldean,9,2021
2021-08-02,885,brittanyaldean,8,2021
2021-07-01,875,brittanyaldean,7,2021
2021-06-01,859,brittanyaldean,6,2021
2021-05-01,854,brittanyaldean,5,2021
2021-04-01,839,brittanyaldean,4,2021
2021-03-02,822,brittanyaldean,3,2021
2021-02-01,809,brittanyaldean,2,2021
2021-01-01,801,brittanyaldean,1,2021
2020-12-01,788,brittanyaldean,12,2020
2020-11-01,783,brittanyaldean,11,2020
2020-10-01,772,brittanyaldean,10,2020
2020-09-01,749,brittanyaldean,9,2020
2020-08-01,744,brittanyaldean,8,2020
2020-07-01,732,brittanyaldean,7,2020
2020-06-01,733,brittanyaldean,6,2020
2020-05-01,723,brittanyaldean,5,2020
2020-04-01,720,brittanyaldean,4,2020
2020-03-01,715,brittanyaldean,3,2020
2020-02-01,711,brittanyaldean,2,2020
2020-01-01,703,brittanyaldean,1,2020
2019-12-01,701,brittanyaldean,12,2019
2019-11-01,694,brittanyaldean,11,2019
2019-10-01,684,brittanyaldean,10,2019
2019-09-01,675,brittanyaldean,9,2019
2019-08-01,661,brittanyaldean,8,2019
2019-07-01,650,brittanyaldean,7,2019
2019-06-01,646,brittanyaldean,6,2019
2019-05-01,639,brittanyaldean,5,2019
2019-04-01,632,brittanyaldean,4,2019
2019-03-01,626,brittanyaldean,3,2019
2019-02-01,621,brittanyaldean,2,2019
2019-01-01,622,brittanyaldean,1,2019
2022-12-01,3363,horo.scopesdaily,12,2022
2022-11-01,3371,horo.scopesdaily,11,2022
2022-10-01,3386,horo.scopesdaily,10,2022
2022-09-01,3394,horo.scopesdaily,9,2022
2022-08-01,3398,horo.scopesdaily,8,2022
2022-07-01,3398,horo.scopesdaily,7,2022
2022-06-01,3404,horo.scopesdaily,6,2022
2022-05-01,3404,horo.scopesdaily,5,2022
2022-04-01,3412,horo.scopesdaily,4,2022
2022-03-01,3414,horo.scopesdaily,3,2022
2022-02-01,3421,horo.scopesdaily,2,2022
2022-01-01,3429,horo.scopesdaily,1,2022
2021-12-01,3438,horo.scopesdaily,12,2021
