FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
tiktok,1,https://instagram.com/chriseom,7900,107
facebook,1,https://instagram.com/illadelphiavish,3112,9374
twitter,1,https://instagram.com/jimmyg_10,1020,68
tiktok,1,https://instagram.com/ericjeongs,4015,51
youtube,1,https://instagram.com/ikmonae,5521,2
tiktok,1,https://instagram.com/joeywarrennn,8809,84
twitter,1,https://instagram.com/jessiejaneduff,4887,962
tiktok,1,https://instagram.com/jordanfiction,5432,215
youtube,1,https://instagram.com/aliahpoost,5695,351
facebook,1,https://instagram.com/kathrinenero,6642,481
tiktok,1,https://instagram.com/eliiseboyer,5792,113
tiktok,1,https://instagram.com/truemattbrady,4387,36
youtube,1,https://instagram.com/_kyliejewel,1137,9
facebook,1,https://instagram.com/bigchocolate,5998,64
youtube,1,https://instagram.com/madi.fergs,1578,2
tiktok,1,https://instagram.com/simonelijah_,8917,213
tiktok,1,https://instagram.com/iiceygod,9225,5
tiktok,1,https://instagram.com/itsnikoslater,8593,12
tiktok,1,https://instagram.com/giustisony,8901,61
tiktok,1,https://instagram.com/leahanntay,7851,17
tiktok,1,https://instagram.com/fibbed,4316,22
tiktok,1,https://instagram.com/j.kristineee,4815,86
youtube,1,https://instagram.com/stephh.nery,2686,611
youtube,1,https://instagram.com/blackmastadonte,6777,799
tiktok,1,https://instagram.com/summerandthelovers,4571,89
instagram,2,https://instagram.com/littletattoos,238040,346
youtube,1,https://instagram.com/desttiinyyy._,4607,12
tiktok,1,https://instagram.com/rashaane,9033,247
tiktok,1,https://instagram.com/leaveit2liz,5174,214
youtube,1,https://instagram.com/kallyincali,2501,207
tiktok,1,https://instagram.com/savysmiles16,6561,810
tiktok,1,https://instagram.com/ava.barnesss,5441,77
tiktok,1,https://instagram.com/shea_foster,9246,26
tiktok,1,https://instagram.com/stvphi,8580,22
tiktok,1,https://instagram.com/shawnbbarboza,4968,4
youtube,1,https://instagram.com/borderhammer,8568,101
tiktok,1,https://instagram.com/aubreysullivan,8161,120
tiktok,1,https://instagram.com/samwelsh42,6059,131
tiktok,1,https://instagram.com/ninaaann,8994,37
tiktok,1,https://instagram.com/tradbait,6896,281
youtube,1,https://instagram.com/koko.volley,6872,593
youtube,1,https://instagram.com/_naturallybrittany_,9549,1355
tiktok,1,https://instagram.com/gregory_3d,4723,20
