FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
tiktok,1,https://instagram.com/bryce.parker,474306,329
youtube,1,https://instagram.com/markdice,119665,460
youtube,2,https://instagram.com/jimmyhereofficial,131759,459
tiktok,1,https://instagram.com/igotcuteankles,169236,29
tiktok,1,https://instagram.com/zalemarshawn,114938,286
pinterest,2,https://instagram.com/inspiredbycharm,118752,5154
tiktok,1,https://instagram.com/_brinton,94648,88
tiktok,1,https://instagram.com/xaviermartinnn_,92745,104
tiktok,1,https://instagram.com/angrycops,268578,1347
tiktok,1,https://instagram.com/patrickrenna,434280,362
tiktok,1,https://instagram.com/honeybthatsme,324702,648
tiktok,1,https://instagram.com/naenaetwins,378346,351
tiktok,1,https://instagram.com/_cjkilla_,134130,287
youtube,1,https://instagram.com/domtracy,303393,12
tiktok,1,https://instagram.com/lukastarnold,350099,995
youtube,1,https://instagram.com/clark,320417,53
instagram,3,https://instagram.com/horo.scopesdaily,2681748,5981
tiktok,1,https://instagram.com/syera.plitt,203043,100
tiktok,1,https://instagram.com/thekillakay_,248499,785
tiktok,1,https://instagram.com/safiiyawitt,94464,845
tiktok,1,https://instagram.com/jonny.morales,96583,146
tiktok,1,https://instagram.com/s.h.a.r.a.n.j,260452,81
tiktok,1,https://instagram.com/sarahschauer,333840,556
tiktok,1,https://instagram.com/kaylathayla,455826,86
tiktok,1,https://instagram.com/garrettoverboe,225675,72
tiktok,1,https://instagram.com/thaddboii,146378,592
tiktok,1,https://instagram.com/themcleodfamily,118992,1931
tiktok,1,https://instagram.com/miguelalejopena,223161,119
tiktok,1,https://instagram.com/gabbydepietro,114136,1019
tiktok,1,https://instagram.com/joshbutlertv,160063,114
tiktok,1,https://instagram.com/monroecapri,413237,689
tiktok,2,https://instagram.com/trevor_wagner_,306296,128
tiktok,1,https://instagram.com/naomi_arbide,146355,85
tiktok,1,https://instagram.com/itsdamiong,106033,130
tiktok,1,https://instagram.com/iliybby,206344,362
tiktok,1,https://instagram.com/yb.kamm,123896,151
tiktok,1,https://instagram.com/jadendbarba,91675,203
tiktok,1,https://instagram.com/kaitlin_reagan,176880,708
